0.1 	1	 -1
0.15 	1	 -1
0.2 	1	 -1
0.25 	1	 -1
0.3 	0.99908	 -0.99988
0.35 	0.99622	 -0.99936
0.4 	0.98288	 -0.99748
0.45 	0.95288	 -0.9928
0.5 	0.86266	 -0.9792
0.55 	0.78372	 -0.96628
0.6 	0.63354	 -0.94428
0.65 	0.48152	 -0.9188
0.7 	0.30292	 -0.8946
0.75 	0.1851	 -0.8736
0.8 	0.07514	 -0.84704
0.85 	0.05554	 -0.82536
0.9 	0.04842	 -0.8006
0.95 	0.04344	 -0.78224
1 	0.03886	 -0.76292
1.05 	0.03946	 -0.74112
1.1 	0.0448	 -0.72048
1.15 	0.04618	 -0.70248
1.2 	0.03264	 -0.68592
1.25 	0.03692	 -0.66116
1.3 	0.03388	 -0.6446
1.35 	0.03488	 -0.62576
1.4 	0.04528	 -0.61352
1.45 	0.03508	 -0.60024
1.5 	0.02788	 -0.5804
1.55 	0.0336	 -0.57088
1.6 	0.03626	 -0.55212
1.65 	0.03096	 -0.54244
1.7 	0.03312	 -0.52416
1.75 	0.03016	 -0.51992
1.8 	0.03348	 -0.50852
1.85 	0.03306	 -0.4888
1.9 	0.0283	 -0.48144
1.95 	0.03138	 -0.46764
2 	0.02968	 -0.46024
2.05 	0.02912	 -0.45044
2.1 	0.02978	 -0.44184
2.15 	0.02618	 -0.43552
2.2 	0.02488	 -0.41812
2.25 	0.02738	 -0.41608
2.3 	0.02568	 -0.40796
2.35 	0.03028	 -0.39292
2.4 	0.02988	 -0.3942
2.45 	0.0265	 -0.38248
2.5 	0.0294	 -0.37988
2.55 	0.02596	 -0.37256
2.6 	0.02808	 -0.36872
2.65 	0.02792	 -0.35392
2.7 	0.02192	 -0.35164
2.75 	0.03142	 -0.34608
2.8 	0.0239	 -0.33904
2.85 	0.02408	 -0.33384
2.9 	0.03022	 -0.32924
2.95 	0.02374	 -0.32648
3 	0.02248	 -0.3222
3.05 	0.02472	 -0.31896
3.1 	0.02796	 -0.30924
3.15 	0.02008	 -0.30784
3.2 	0.02154	 -0.29904
3.25 	0.02508	 -0.29848
3.3 	0.02582	 -0.294
3.35 	0.02672	 -0.2904
3.4 	0.02332	 -0.28644
3.45 	0.02404	 -0.27476
3.5 	0.02694	 -0.2828
3.55 	0.02594	 -0.28076
3.6 	0.02286	 -0.27408
3.65 	0.024	 -0.26484
3.7 	0.02776	 -0.26076
3.75 	0.02316	 -0.25672
3.8 	0.02632	 -0.25648
3.85 	0.02608	 -0.25288
3.9 	0.02468	 -0.25176
3.95 	0.02246	 -0.2486
4 	0.02198	 -0.2462
4.05 	0.0228	 -0.2374
4.1 	0.01936	 -0.2396
4.15 	0.0219	 -0.23436
4.2 	0.01888	 -0.23436
4.25 	0.02288	 -0.23016
4.3 	0.0204	 -0.23008
4.35 	0.02046	 -0.22784
4.4 	0.02198	 -0.23032
4.45 	0.02236	 -0.22672
4.5 	0.0237	 -0.22264
4.55 	0.02558	 -0.21972
4.6 	0.02666	 -0.21288
4.65 	0.02192	 -0.20856
4.7 	0.0214	 -0.21228
4.75 	0.02026	 -0.2098
4.8 	0.02308	 -0.2022
4.85 	0.02364	 -0.20104
4.9 	0.02328	 -0.198
4.95 	0.01864	 -0.20216
5 	0.0249	 -0.19592
